Name,Start Time,End Time,Duration,Venue,Voter: Callum,Voter: Steven,Total Votes
1 Date: The 18+ Game Show (Free!),00:30,01:30,1:00,"Downstairs Room, PBH's Free Fringe @ Burrito ‘n’ Shake, 97 South Bridge, EH1 1HN",,X,1
1 Date: The 18+ Game Show (Free!),19:30,20:30,1:00,"Warehouse, PBH's Free Fringe @ Liquid Room Annexe/Warehouse, 9c Victoria St, EH1 2HE",,X,1
"1 Irish, 1 English: Evenings",20:15,21:15,1:00,"Hoot 6, Hoots @ The Apex, 31-35 Grassmarket, EH1 2HS",,X,1
100% C*ntinental,20:30,21:30,1:00,"Basement, Laughing Horse @ Home Bar, 69 Home St, EH3 9JP",,X,1
100% The Greatest Comedian Alive or Dead (No Refunds),15:05,16:00,0:55,"carte blanche!, PBH's Free Fringe @ Voodoo Rooms, West Register Street, EH2 2AA",X,X,2
1984,11:40,12:40,1:00,"Old Lab, Summerhall, 1 Summerhall, EH9 1PL",X,X,2
419 Dirty Words,13:40,14:40,1:00,"Stand 5, The Stand Comedy Club 5 & 6, The Place, 34-38 York Place, EH1 3HU",X,X,2
44 Sex Acts In One Week,16:40,17:50,1:10,"King Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",X,X,2
5 Mistakes That Changed History,16:40,17:40,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",,X,1
A Girl Gets Naked In This,16:55,17:45,0:50,"Bedlam Theatre, Bedlam Theatre, 11b Bristo Place, EH1 1EZ",X,X,2
A Jaffa Cake Musical,15:10,16:10,1:00,"Pleasance Two, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
A-Z: The Geek's Guide to Seduction,19:45,20:40,0:55,"Hoot 2, Hoots @ The Apex, 31-35 Grassmarket, EH1 2HS",X,X,2
AI:rish,15:45,16:35,0:50,"The Wee Tap, Laughing Horse @ The Hanover Tap, 112 Hanover Street, EH2 1DR",X,X,2
Accidental Baby,23:35,00:30,0:55,"The Vault, Paradise in The Vault, 11 Merchant Street, EH1 2QD",X,X,2
Adam Bloom: Bloom Mic Moments,19:45,20:45,1:00,"Just the Cask Room, Just the Tonic at The Mash House, 37 Guthrie St, EH1 1JG",X,X,2
Adventures of the Improvised Sherlock Holmes,16:30,17:30,1:00,"Just the Big Room, Just the Tonic at The Caves, Rowantree Bar, EH1 1LG",X,X,2
