"Date","Name","Rating","Walk to Show","Price(£)","Start Time","End Time","Duration","Venue"
Wed 31/07,"Work",," ",0.00,08:00,17:00,9:00,"",
Wed 31/07,"Fast Fringe",100," ",6.00,18:30,19:30,1:00,"King Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Wed 31/07,"BriTANicK: Dummy",,"7 mins",12.00,20:00,21:00,1:00,"Above, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 01/08,"Work",," ",0.00,09:00,17:00,8:00,"",
Thu 01/08,"John Robertson: The Human Hurricane",80," ",0.00,20:20,21:10,0:50,"The Ballroom, Laughing Horse @ The Counting House, 38 W Nicolson St, EH8 9DD",
Fri 02/08,"Work",," ",0.00,08:00,17:00,9:00,"",
Fri 02/08,"Harriet Kemsley: Everything Always Works Out For Me",50," ",10.00,18:10,19:10,1:00,"Monkey Barrel 1, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Fri 02/08,"Flat and the Curves: Rosé-Tinted",,"6 mins",9.00,20:20,21:20,1:00,"Friesian, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Fri 02/08,"John Robertson's The Dark Room",100,"5 mins",8.50,22:00,23:00,1:00,"Doonstairs, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Sat 03/08,"Alexis Gay: Unprofessional",40," ",11.00,16:20,17:20,1:00,"The Wee Coo, Underbelly, George Square, George Square, EH8 9LH",
Sat 03/08,"Ignacio Lopez: Señor Self-Destruct",,"11 mins",10.00,18:00,19:00,1:00,"Hoot 1, Hoots @ The Apex, 31-35 Grassmarket, EH1 2HS",
Sat 03/08,"Adam Bloom: Bloom Mic Moments",75,"9 mins",15.00,19:45,20:45,1:00,"Just the Cask Room, Just the Tonic at The Mash House, 37 Guthrie St, EH1 1JG",
Sun 04/08,"Phil Ellis: Come On and Take The Rest of Me",60," ",10.00,12:45,13:45,1:00,"Monkey Barrel 4, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Sun 04/08,"Anesti Danelis: Artificially Intelligent",25,"6 mins",12.00,14:15,15:15,1:00,"Buttercup, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Sun 04/08,"Mags Singing",," ",0.00,16:00,18:30,2:30,"The Mound Precinct",
Sun 04/08,"Jack Docherty in The Chief – No Apologies",100," ",16.50,20:00,21:00,1:00,"Big Yin, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Sun 04/08,"Lou Wall: The Bisexual's Lament",100,"5 mins",15.00,22:20,23:20,1:00,"Beneath, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sun 04/08,"CatGPT",50,"4 mins",8.00,23:59,00:54,0:55,"Fleming Theatre, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",
Mon 05/08,"Phil Ellis: Come On and Take The Rest of Me",60," ",9.00,12:45,13:45,1:00,"Monkey Barrel 4, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Tue 06/08,"Work",," ",0.00,09:00,23:59,14:59,"",
Wed 07/08,"Work",," ",0.00,09:00,18:30,9:30,"",
Wed 07/08,"Stuart McPherson: HORSE",100," ",8.00,19:10,20:10,1:00,"Monkey Barrel 2, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Wed 07/08,"Drinks, Drugs and Dares: The Ultimate Pre-Drink Gameshow",,"8 mins",0.00,22:10,23:00,0:50,"carte blanche!, PBH's Free Fringe @ Voodoo Rooms, West Register Street, EH2 2AA",
Wed 07/08,"Comedy Striptease",50,"17 mins",0.00,00:45,01:35,0:50,"Main Cellar, Laughing Horse @ 32 Below, 32b W Nicolson St, EH8 9DD",
Thu 08/08,"Work",," ",0.00,09:00,17:00,8:00,"",
Thu 08/08,"Beat the Comic – Quiz Show",100," ",5.00,18:45,19:45,1:00,"Las Vegas, Laughing Horse @ City Cafe, 19 Blair Street, EH1 1QR",
Thu 08/08,"Jimeoin: Who's Your Man?!",100,"10 mins",15.50,20:25,21:25,1:00,"Just the Tonic's Atomic Room, Just the Tonic Nucleus, 138-140 Pleasance, EH8 9RR",
Thu 08/08,"The Late Nite PowerPoint Comedy Showcase",75,"9 mins",12.00,22:05,23:05,1:00,"Studio Five, Assembly George Square Studios, George Square, EH8 9LH",
Thu 08/08,"Accidental Baby",75,"9 mins",5.00,23:35,00:30,0:55,"The Vault, Paradise in The Vault, 11 Merchant Street, EH1 2QD",
Thu 08/08,"Wild West Rodeo",,"5 mins",5.00,01:00,02:00,1:00,"Just the Spare Room, Just the Tonic at The Caves, Rowantree Bar, EH1 1LG",
Fri 09/08,"Work",," ",0.00,09:00,17:00,8:00,"",
Fri 09/08,"Shamilton! The Improvised Hip-Hop Musical",100," ",16.50,18:20,19:20,1:00,"Studio One, Assembly George Square Studios, George Square, EH8 9LH",
Fri 09/08,"Sh!t-faced Shakespeare®: Much Ado About Nothing",100,"20 mins",19.50,21:00,22:10,1:10,"Pentland, Pleasance at EICC, 150 Morrison Street, EH3 8EE",
Fri 09/08,"Best of the Fest",100,"17 mins",15.00,23:55,01:10,1:15,"Main Hall, Assembly Hall, Mound Place, EH1 2LU",
Sat 10/08,"Glenn Moore: Work in Progress",75," ",10.00,11:05,12:05,1:00,"Monkey Barrel 1, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
