"Date","Name","Rating","Walk to Show","Price(£)","Start Time","End Time","Duration","Venue"
Mon 29/07,"Work",," ",0.00,09:00,19:00,10:00,"",
Tue 30/07,"Work",," ",0.00,09:00,19:00,10:00,"",
Tue 30/07,"Paddy Young: If I Told You I'd Have to Kiss You",," ",7.00,19:50,20:50,1:00,"Monkey Barrel 4, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Wed 31/07,"Work",," ",0.00,09:00,19:00,10:00,"",
Wed 31/07,"Rhys Nicholson: Huge Big Party Congratulations!",75," ",8.50,20:25,21:25,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Wed 31/07,"Lou Wall: The Bisexual's Lament",90,"9 mins",10.00,22:20,23:20,1:00,"Beneath, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Wed 31/07,"Wild West Rodeo",50,"5 mins",5.00,01:00,02:00,1:00,"Just the Spare Room, Just the Tonic at The Caves, Rowantree Bar, EH1 1LG",
Thu 01/08,"Work",," ",0.00,09:00,19:00,10:00,"",
Thu 01/08,"An Evening Without Kate Bush",50," ",10.00,19:20,20:30,1:10,"Assembly Checkpoint, Assembly Checkpoint, 3 Bristo Place, EH1 1EY",
Thu 01/08,"Mythos: Ragnarok",75,"4 mins",10.00,20:55,22:05,1:10,"Gordon Aikman Theatre, Assembly George Square, George Square, EH8 9LH",
Thu 01/08,"Skank Sinatra",50,"2 mins",8.00,22:40,23:40,1:00,"Studio Four, Assembly George Square Studios, George Square, EH8 9LH",
Thu 01/08,"Comedy Striptease",50,"4 mins",0.00,00:45,01:35,0:50,"Main Cellar, Laughing Horse @ 32 Below, 32b W Nicolson St, EH8 9DD",
Fri 02/08,"Work",," ",0.00,09:00,19:00,10:00,"",
Fri 02/08,"Adam Bloom: Bloom Mic Moments",," ",15.00,19:45,20:45,1:00,"Just the Cask Room, Just the Tonic at The Mash House, 37 Guthrie St, EH1 1JG",
Fri 02/08,"Six Chick Flicks...",50,"6 mins",8.00,21:30,22:30,1:00,"Cowbarn, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Fri 02/08,"Late Night With Terry Wogan",50,"4 mins",16.00,23:00,00:00,1:00,"Studio One, Assembly George Square Studios, George Square, EH8 9LH",
Sat 03/08,"1984",75," ",17.00,11:40,12:40,1:00,"Old Lab, Summerhall, 1 Summerhall, EH9 1PL",
Sat 03/08,"John Luke Roberts: John-Luke-A-Palooza!",50,"17 mins",10.00,14:10,15:10,1:00,"Monkey Barrel 4, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Sat 03/08,"Lil Wenker: BANGTAIL",50,"7 mins",12.00,16:15,17:15,1:00,"Cellar, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sat 03/08,"Harriet Kemsley: Everything Always Works Out For Me",50,"7 mins",10.00,18:10,19:10,1:00,"Monkey Barrel 1, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Sat 03/08,"Jack Docherty in The Chief – No Apologies",,"2 mins",16.50,20:00,21:00,1:00,"Big Yin, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Sat 03/08,"Mark Bittlestone: I Need a Straight Guy*",50,"4 mins",14.00,21:40,22:40,1:00,"Jack Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Sat 03/08,"The Kaye Hole Hosted by Reuben Kaye",50,"3 mins",18.50,23:45,01:15,1:30,"Palais du Variété, Assembly George Square Gardens, George Square, EH8 9LH",
Sun 04/08,"Confessions of a Teletubby",," ",11.00,10:30,11:35,1:05,"Theatre 1, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",
Sun 04/08,"Joe Wells – Daddy Autism",,"5 mins",0.00,12:00,13:00,1:00,"Chamber Room, PBH's Free Fringe @ Banshee Labyrinth, 29-35 Niddry Street, EH1 1LG",
Sun 04/08,"Apricity",20,"9 mins",17.50,15:00,16:00,1:00,"Palais du Variété, Assembly George Square Gardens, George Square, EH8 9LH",
Sun 04/08,"Ellie MacPherson: Babe Lincoln",75,"10 mins",13.00,16:35,17:35,1:00,"Attic, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Sun 04/08,"The Umbilical Brothers: The Distraction",50,"2 mins",17.00,18:35,19:35,1:00,"Central, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",
Sun 04/08,"Crispr! The Musical",25,"10 mins",15.00,20:40,21:35,0:55,"temple, C ARTS | C venues | C aquila, Roman Eagle Lodge, 2 Johnston Terrace, EH1 2PW",
Sun 04/08,"Accidental Baby",,"4 mins",5.00,23:35,00:30,0:55,"The Vault, Paradise in The Vault, 11 Merchant Street, EH1 2QD",
Mon 05/08,"Glenn Moore: Work in Progress",," ",10.00,11:05,12:05,1:00,"Monkey Barrel 1, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Mon 05/08,"Rob Auton: The Eyes Open and Shut Show",50,"5 mins",16.00,14:15,15:15,1:00,"Upstairs, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",
Mon 05/08,"Olaf Falafel Asks: Has Anyone Ever Actually Woven a Sigourney?",50,"5 mins",0.00,15:45,16:45,1:00,"Main Room, Laughing Horse @ The Pear Tree, 36 W Nicholson St, EH8 9DD",
Mon 05/08,"Fast Fringe",,"4 mins",15.00,18:30,19:30,1:00,"King Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Mon 05/08,"Natalie Palamides: WEER",50,"15 mins",17.50,21:30,22:45,1:15,"Traverse 1, Traverse Theatre, 10 Cambridge Street, EH1 2ED",
Mon 05/08,"Pineapple Princess",,"14 mins",8.00,00:15,01:15,1:00,"Wee Yurt, Hoots @ Potterrow, Potterrow Port (Underpass), EH8 9AA",
Tue 06/08,"Alex Berr: How to Kill a Mouse (WIP)",," ",2.50,11:30,12:30,1:00,"Games Room, Laughing Horse @ The Brass Monkey, 14 Drummond Street, EH8 9TU",
Tue 06/08,"A Jaffa Cake Musical",50,"3 mins",16.00,15:10,16:10,1:00,"Pleasance Two, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Tue 06/08,"Riki Lindhome: Dead Inside",75,"0 mins",15.00,17:00,18:00,1:00,"Beneath, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Tue 06/08,"One Man Musical by Flo & Joan",50,"7 mins",16.00,19:00,20:00,1:00,"Queen Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",
Tue 06/08,"Ask A Stripper: No Holes Barred",,"9 mins",5.00,21:30,22:25,0:55,"Main Room, Laughing Horse @ Dragonfly, 52 West Port, EH1 2LD",
Tue 06/08,"Pod Save the UK – Live!",,"13 mins",12.00,23:20,00:50,1:30,"Monkey Barrel 3, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",
Wed 07/08,"Chris Grace: Sardines (A Comedy About Death)",50," ",12.50,13:40,14:40,1:00,"Studio Five, Assembly George Square Studios, George Square, EH8 9LH",
Wed 07/08,"Barbaren Barbies: A Wild Women Circus",50,"1 mins",14.50,16:00,17:00,1:00,"Udderbelly, Underbelly, George Square, George Square, EH8 9LH",
Wed 07/08,"Andrew Maxwell: The Bare Maximum",50,"10 mins",12.50,17:40,18:35,0:55,"Just the Tonic's Atomic Room, Just the Tonic Nucleus, 138-140 Pleasance, EH8 9RR",
Wed 07/08,"1 Date: The 18+ Game Show (Free!)",,"14 mins",0.00,19:30,20:30,1:00,"Warehouse, PBH's Free Fringe @ Liquid Room Annexe/Warehouse, 9c Victoria St, EH1 2HE",
